question_id,question_var_id,answer_var_id,question,answer_options,num_scale,scale_type,question_type,subject,source,Llama-3.1-8B-Instruct,gemma-2-9b-it,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct
21,1,1,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A lot', 'A fair amount', 'Not too much', 'None at all']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,A fair amount,A fair amount,A lot,A fair amount
21,1,2,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A great deal', 'A moderate amount', 'A small amount', 'None whatsoever']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,A moderate amount,A moderate amount,A great deal,A moderate amount
21,1,3,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['Substantially', 'Considerably', 'Minimally', 'Not at all']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,Minimally,Minimally,Substantially,Substantially
21,1,4,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['Extensively', 'Moderately', 'Slightly', 'Not in the least']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,Moderately,Slightly,Extensively,Moderately
21,1,5,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['Extensively', 'Considerably', 'Quite a bit', 'Very little', 'Absolutely none']","[1.0, 0.5, 0.0, -0.5, -1.0]",5-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,Quite a bit,Considerably,Extensively,Considerably
22,1,1,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['A lot', 'A fair amount', 'Not too much', 'None at all']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,Not too much,None at all,A fair amount,A fair amount
22,1,2,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['A great deal', 'A moderate amount', 'A small amount', 'None whatsoever']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,A small amount,None whatsoever,A moderate amount,A moderate amount
22,1,3,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['Substantially', 'Considerably', 'Minimally', 'Not at all']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,Minimally,Minimally,Substantially,Considerably
22,1,4,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['Extensively', 'Moderately', 'Slightly', 'Not in the least']","[1.0, 0.33333333, -0.33333333, -1.0]",4-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,Not in the least,Slightly,Slightly,Slightly
22,1,5,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['Extensively', 'Considerably', 'Quite a bit', 'Very little', 'Absolutely none']","[1.0, 0.5, 0.0, -0.5, -1.0]",5-unipolar,Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,Very little,Very little,Considerably,Considerably
